driverId,week,hours-logged,miles-logged
21,2,60,3700
35,6,62,400
99,11,76,2000
53,39,77,4000
72,32,65,400
36,7,61,3200
64,28,77,1000
10,19,60,1200
45,34,78,2700
88,19,62,2400
103,41,66,2200
52,9,71,500
92,37,77,2700
21,15,78,3300
17,50,71,3700
95,24,70,3400
73,13,68,1900
97,52,71,2900
67,47,71,3100
80,25,62,3500
71,48,58,3200
34,25,63,2700
88,16,53,2700
98,22,79,2700
59,43,75,1100
16,43,75,2300
109,22,56,3100
94,23,66,2600
59,3,67,500
22,4,53,2800
73,6,69,3900
23,25,66,3900
10,5,64,4000
34,22,72,2400
49,51,78,3700
99,18,77,800
10,16,64,3900
70,25,76,200
16,2,50,3000
24,21,54,2600
26,11,61,400
69,30,74,900
42,50,80,2000
30,41,67,0
73,38,54,1100
80,10,62,800
12,24,66,700
76,3,65,2800
100,52,57,2200
24,36,70,2800
55,15,77,0
89,7,73,1000
13,48,72,500
15,39,66,100
41,42,61,2300
56,18,58,1500
85,42,75,2800
90,1,58,1600
64,37,64,3400
90,42,57,400
37,22,71,600
44,31,54,3400
55,5,67,3500
85,50,77,3000
79,25,66,2500
17,27,62,3900
48,33,72,1900
63,44,68,2500
56,49,80,600
57,11,63,3000
29,24,62,3100
50,50,77,100
92,27,67,1200
56,43,66,3400
54,39,55,1400
64,1,77,1900
103,5,53,1100
37,33,75,2300
32,30,58,1800
109,9,66,700
38,43,66,2400
89,5,58,1800
76,45,77,2500
82,33,73,2300
37,10,56,3200
98,21,60,900
103,31,73,900
28,47,51,2900
27,33,71,600
38,4,52,1300
45,49,70,700
62,4,64,600
40,39,66,1300
94,16,61,3200
90,33,60,1300
97,41,69,600
99,1,62,1200
108,33,55,1300
73,37,72,3400
79,18,65,600
28,19,63,2800
63,18,74,1400
69,23,61,2000
11,44,66,1500
63,35,72,2700
32,3,50,4000
42,25,51,3000
56,6,71,300
15,14,57,700
48,9,79,1000
88,51,70,2500
68,26,58,3800
104,25,79,3200
38,17,59,3300
72,8,51,1600
27,28,73,2700
48,8,78,800
106,33,60,1100
44,13,62,800
96,9,68,900
46,35,67,2300
91,49,53,3900
63,17,78,600
34,45,77,1700
79,19,66,1100
36,38,80,200
76,42,56,2500
35,22,59,1200
45,50,70,3900
91,18,66,200
13,41,71,3000
91,6,57,400
74,7,76,900
36,21,74,500
32,3,51,2000
86,8,67,700
74,33,72,100
37,12,77,1800
51,30,78,2600
47,4,59,4000
79,14,57,1900
98,46,58,200
56,22,79,2500
14,39,60,2700
45,4,52,900
19,31,77,3700
37,8,52,3500
69,14,80,3000
46,28,60,1100
101,7,80,2600
